,경제,국민,세계,정부,발전,한국,산업,협력,혁신,노력,사회,기업,국가,대한민국,창조,지원,문화,성장,기술,양국,평화,생각,지역,미래,북한,지금,감사,나라,축하,오늘,시대,동포,행복,통일,교육,국제,확대,모두,개발,분야,적극,시장,한반도,변화,투자,추진,존경,중요,기대,여성,역사,센터,글로벌,사업,이제,동안,개혁,도약,환경,자리,희망,일자리,안전,진심,과학,도전,구축,기여,역할,지속,에너지,강화,기반,창출,성공,창의,필요,이번,창업,기원,가치,수출,문제,가능,안보,다양,신뢰,중심,기회,역량,대회,서비스,관계,대응,전국,헌신,금융,위기,정책,계획,인류,귀빈,내외,아이디어,정보,공동,중국,규제,마음,자유,포럼,융합,성과,가장,정신,시작,정상,벤처,영상,최근,과제,올해,도발,상황,개최,진출,번영,메시지,의료,동북아,무역,개선,위협,주민,최선,말씀,바탕,현재,규모,극복,마련,현장,동력,회의,민족,과정,활성,청년,핵심,활용,각국,경찰,육성,어려움,교류,참여,토대,경험,해외,국회,건설,제공,전략,구조,운동,서로,조성,전쟁,계기,남북,이상,기관,경쟁력,생활,인재,해결
경제,0.0,350.0,497.0,363.0,447.0,348.0,386.0,449.0,879.0,211.0,181.0,278.0,241.0,131.0,1073.0,187.0,225.0,492.0,213.0,377.0,45.0,170.0,272.0,178.0,70.0,42.0,18.0,125.0,53.0,43.0,157.0,52.0,79.0,54.0,81.0,48.0,141.0,44.0,104.0,136.0,135.0,174.0,32.0,86.0,147.0,254.0,130.0,106.0,93.0,67.0,32.0,319.0,141.0,71.0,21.0,65.0,233.0,296.0,64.0,79.0,53.0,170.0,25.0,46.0,94.0,90.0,94.0,102.0,88.0,117.0,80.0,70.0,144.0,153.0,81.0,164.0,65.0,49.0,133.0,20.0,83.0,117.0,38.0,70.0,49.0,54.0,24.0,77.0,76.0,50.0,4.0,52.0,76.0,36.0,90.0,14.0,101.0,122.0,78.0,230.0,28.0,61.0,65.0,140.0,24.0,35.0,49.0,94.0,25.0,35.0,60.0,79.0,86.0,0.0,37.0,52.0,85.0,92.0,5.0,47.0,83.0,47.0,13.0,81.0,28.0,37.0,26.0,2.0,19.0,24.0,49.0,60.0,12.0,48.0,34.0,45.0,70.0,2.0,64.0,54.0,67.0,22.0,89.0,26.0,10.0,39.0,159.0,42.0,105.0,37.0,24.0,2.0,62.0,69.0,46.0,32.0,68.0,37.0,35.0,35.0,36.0,33.0,110.0,121.0,11.0,5.0,54.0,26.0,47.0,12.0,33.0,22.0,51.0,24.0,30.0,23.0
국민,350.0,0.0,92.0,282.0,142.0,75.0,103.0,51.0,106.0,149.0,133.0,42.0,221.0,183.0,71.0,39.0,137.0,65.0,48.0,61.0,97.0,122.0,61.0,71.0,78.0,35.0,45.0,134.0,46.0,61.0,184.0,55.0,329.0,139.0,41.0,28.0,41.0,95.0,26.0,12.0,50.0,22.0,76.0,51.0,17.0,59.0,285.0,65.0,55.0,37.0,67.0,13.0,17.0,28.0,6.0,49.0,61.0,52.0,28.0,71.0,107.0,47.0,215.0,36.0,23.0,34.0,56.0,38.0,49.0,28.0,7.0,28.0,49.0,26.0,36.0,34.0,45.0,30.0,13.0,18.0,26.0,16.0,25.0,29.0,71.0,25.0,96.0,39.0,17.0,44.0,17.0,33.0,17.0,25.0,42.0,59.0,8.0,53.0,49.0,36.0,17.0,56.0,58.0,38.0,28.0,8.0,16.0,15.0,104.0,29.0,2.0,14.0,30.0,1.0,39.0,16.0,29.0,2.0,9.0,16.0,37.0,36.0,41.0,44.0,20.0,2.0,18.0,12.0,14.0,5.0,4.0,30.0,33.0,19.0,42.0,33.0,25.0,5.0,12.0,25.0,34.0,31.0,25.0,5.0,20.0,20.0,22.0,20.0,9.0,14.0,7.0,86.0,8.0,44.0,23.0,23.0,34.0,7.0,11.0,97.0,15.0,21.0,9.0,24.0,50.0,9.0,15.0,20.0,24.0,14.0,16.0,15.0,18.0,59.0,7.0,12.0
세계,497.0,92.0,0.0,85.0,207.0,263.0,174.0,106.0,144.0,96.0,116.0,128.0,157.0,156.0,101.0,95.0,125.0,212.0,164.0,60.0,197.0,76.0,90.0,91.0,51.0,38.0,23.0,213.0,100.0,25.0,75.0,123.0,38.0,60.0,133.0,116.0,52.0,38.0,85.0,66.0,59.0,155.0,80.0,71.0,53.0,31.0,63.0,43.0,44.0,61.0,44.0,41.0,86.0,33.0,20.0,31.0,15.0,51.0,53.0,46.0,31.0,16.0,20.0,82.0,85.0,66.0,44.0,96.0,41.0,62.0,79.0,46.0,37.0,32.0,47.0,37.0,24.0,50.0,41.0,33.0,33.0,57.0,45.0,56.0,33.0,31.0,13.0,22.0,42.0,42.0,197.0,31.0,24.0,36.0,17.0,21.0,32.0,61.0,28.0,34.0,81.0,63.0,57.0,29.0,33.0,33.0,41.0,13.0,11.0,34.0,73.0,23.0,28.0,0.0,26.0,27.0,30.0,25.0,69.0,31.0,19.0,23.0,13.0,34.0,90.0,49.0,42.0,69.0,25.0,49.0,73.0,18.0,39.0,15.0,9.0,10.0,27.0,9.0,74.0,30.0,23.0,15.0,21.0,52.0,49.0,25.0,26.0,9.0,16.0,19.0,160.0,15.0,15.0,24.0,20.0,30.0,21.0,41.0,40.0,8.0,34.0,29.0,32.0,22.0,18.0,13.0,27.0,37.0,24.0,11.0,32.0,45.0,55.0,15.0,21.0,30.0
정부,363.0,282.0,85.0,0.0,128.0,125.0,123.0,157.0,144.0,307.0,150.0,146.0,111.0,78.0,128.0,274.0,88.0,87.0,82.0,68.0,62.0,51.0,117.0,78.0,82.0,23.0,31.0,29.0,3.0,20.0,76.0,115.0,74.0,71.0,103.0,49.0,75.0,35.0,62.0,58.0,138.0,39.0,42.0,48.0,65.0,155.0,34.0,36.0,32.0,74.0,30.0,36.0,46.0,86.0,4.0,45.0,92.0,55.0,54.0,34.0,41.0,50.0,61.0,10.0,32.0,30.0,62.0,21.0,26.0,69.0,33.0,59.0,59.0,48.0,41.0,50.0,45.0,39.0,41.0,3.0,23.0,19.0,13.0,22.0,33.0,35.0,36.0,44.0,25.0,86.0,10.0,36.0,33.0,44.0,20.0,21.0,29.0,21.0,114.0,64.0,11.0,5.0,6.0,21.0,35.0,17.0,27.0,66.0,18.0,15.0,4.0,21.0,45.0,0.0,28.0,23.0,32.0,38.0,1.0,7.0,37.0,23.0,25.0,30.0,13.0,17.0,9.0,1.0,21.0,12.0,10.0,72.0,18.0,63.0,86.0,8.0,29.0,3.0,23.0,22.0,41.0,35.0,25.0,18.0,16.0,13.0,39.0,12.0,34.0,23.0,12.0,20.0,40.0,34.0,16.0,30.0,25.0,13.0,14.0,32.0,21.0,27.0,31.0,33.0,12.0,6.0,38.0,6.0,19.0,21.0,25.0,40.0,27.0,34.0,25.0,10.0
발전,447.0,142.0,207.0,128.0,0.0,160.0,259.0,197.0,77.0,142.0,189.0,53.0,221.0,133.0,90.0,129.0,104.0,117.0,145.0,171.0,75.0,68.0,230.0,75.0,47.0,26.0,55.0,113.0,47.0,40.0,58.0,140.0,90.0,35.0,76.0,74.0,62.0,50.0,67.0,65.0,81.0,34.0,32.0,58.0,36.0,57.0,30.0,35.0,81.0,63.0,42.0,25.0,42.0,40.0,14.0,66.0,20.0,39.0,29.0,28.0,35.0,27.0,18.0,20.0,82.0,23.0,30.0,148.0,72.0,76.0,47.0,17.0,51.0,29.0,36.0,36.0,22.0,38.0,13.0,71.0,23.0,21.0,12.0,57.0,28.0,36.0,26.0,53.0,34.0,35.0,23.0,60.0,113.0,13.0,15.0,48.0,23.0,12.0,40.0,21.0,64.0,9.0,9.0,14.0,35.0,48.0,9.0,16.0,19.0,22.0,19.0,20.0,29.0,0.0,22.0,28.0,26.0,5.0,6.0,6.0,17.0,10.0,6.0,16.0,23.0,29.0,32.0,2.0,36.0,16.0,6.0,12.0,8.0,31.0,18.0,13.0,24.0,1.0,16.0,8.0,25.0,11.0,34.0,22.0,8.0,17.0,23.0,4.0,34.0,15.0,14.0,11.0,24.0,6.0,25.0,21.0,40.0,40.0,13.0,7.0,18.0,27.0,58.0,31.0,32.0,7.0,14.0,20.0,39.0,23.0,16.0,17.0,13.0,26.0,29.0,10.0
한국,348.0,75.0,263.0,125.0,160.0,0.0,106.0,200.0,83.0,90.0,83.0,160.0,97.0,21.0,62.0,95.0,87.0,115.0,92.0,171.0,61.0,68.0,50.0,82.0,29.0,12.0,22.0,60.0,31.0,19.0,23.0,44.0,30.0,39.0,103.0,70.0,51.0,13.0,84.0,81.0,72.0,81.0,11.0,34.0,99.0,59.0,31.0,22.0,43.0,15.0,31.0,18.0,47.0,69.0,10.0,33.0,8.0,28.0,17.0,24.0,28.0,17.0,16.0,22.0,36.0,13.0,44.0,57.0,31.0,32.0,74.0,20.0,32.0,28.0,49.0,23.0,13.0,21.0,17.0,7.0,24.0,48.0,27.0,26.0,21.0,45.0,30.0,23.0,31.0,24.0,23.0,37.0,51.0,30.0,16.0,8.0,20.0,11.0,36.0,51.0,22.0,26.0,28.0,15.0,16.0,37.0,134.0,9.0,16.0,26.0,25.0,16.0,15.0,0.0,16.0,26.0,23.0,7.0,20.0,29.0,6.0,18.0,8.0,11.0,41.0,60.0,25.0,16.0,39.0,20.0,24.0,13.0,9.0,17.0,6.0,28.0,33.0,5.0,34.0,18.0,22.0,11.0,15.0,29.0,7.0,30.0,12.0,5.0,15.0,29.0,28.0,12.0,19.0,9.0,33.0,39.0,21.0,57.0,25.0,4.0,41.0,22.0,30.0,17.0,26.0,5.0,19.0,47.0,18.0,7.0,17.0,17.0,20.0,9.0,15.0,11.0
산업,386.0,103.0,174.0,123.0,259.0,106.0,0.0,148.0,186.0,79.0,48.0,140.0,124.0,53.0,245.0,143.0,277.0,197.0,281.0,91.0,3.0,42.0,143.0,153.0,2.0,27.0,14.0,47.0,16.0,20.0,68.0,29.0,22.0,0.0,46.0,17.0,120.0,14.0,143.0,140.0,93.0,120.0,0.0,59.0,108.0,72.0,15.0,23.0,59.0,10.0,17.0,101.0,35.0,65.0,14.0,20.0,29.0,71.0,57.0,25.0,16.0,155.0,39.0,12.0,92.0,42.0,45.0,32.0,35.0,31.0,147.0,57.0,75.0,160.0,16.0,80.0,30.0,30.0,53.0,11.0,103.0,91.0,10.0,45.0,4.0,52.0,3.0,68.0,40.0,47.0,5.0,134.0,11.0,40.0,26.0,10.0,42.0,10.0,25.0,37.0,11.0,9.0,9.0,65.0,54.0,16.0,41.0,95.0,4.0,7.0,5.0,173.0,23.0,0.0,8.0,27.0,4.0,33.0,11.0,26.0,13.0,18.0,1.0,7.0,7.0,41.0,3.0,3.0,107.0,0.0,29.0,54.0,3.0,9.0,12.0,4.0,43.0,15.0,41.0,17.0,30.0,42.0,62.0,7.0,3.0,16.0,72.0,26.0,70.0,79.0,12.0,0.0,162.0,13.0,15.0,7.0,16.0,15.0,18.0,9.0,37.0,26.0,76.0,40.0,1.0,2.0,77.0,9.0,32.0,1.0,35.0,14.0,60.0,15.0,13.0,6.0
협력,449.0,51.0,106.0,157.0,197.0,200.0,148.0,0.0,60.0,87.0,77.0,91.0,101.0,18.0,61.0,109.0,87.0,67.0,111.0,490.0,140.0,110.0,92.0,95.0,63.0,10.0,7.0,35.0,10.0,25.0,40.0,84.0,12.0,49.0,50.0,99.0,177.0,22.0,136.0,286.0,75.0,33.0,44.0,47.0,85.0,107.0,26.0,71.0,117.0,7.0,20.0,36.0,67.0,136.0,18.0,41.0,8.0,16.0,35.0,28.0,34.0,14.0,39.0,4.0,19.0,16.0,79.0,49.0,24.0,50.0,117.0,117.0,47.0,27.0,37.0,26.0,55.0,87.0,14.0,7.0,27.0,14.0,30.0,39.0,47.0,95.0,62.0,38.0,30.0,15.0,13.0,49.0,129.0,33.0,7.0,0.0,19.0,4.0,30.0,23.0,15.0,14.0,14.0,9.0,27.0,81.0,32.0,10.0,9.0,6.0,32.0,17.0,33.0,0.0,7.0,53.0,38.0,5.0,4.0,15.0,12.0,5.0,8.0,13.0,33.0,45.0,29.0,4.0,74.0,123.0,17.0,16.0,6.0,17.0,11.0,9.0,43.0,8.0,27.0,15.0,33.0,9.0,19.0,36.0,16.0,30.0,25.0,5.0,14.0,22.0,16.0,12.0,7.0,3.0,96.0,34.0,26.0,31.0,15.0,9.0,38.0,16.0,23.0,22.0,14.0,26.0,16.0,5.0,62.0,41.0,11.0,35.0,9.0,17.0,9.0,14.0
혁신,879.0,106.0,144.0,144.0,77.0,83.0,186.0,60.0,0.0,75.0,66.0,170.0,119.0,68.0,447.0,115.0,61.0,154.0,169.0,42.0,4.0,36.0,147.0,72.0,0.0,16.0,1.0,34.0,33.0,22.0,61.0,4.0,23.0,8.0,47.0,18.0,34.0,19.0,47.0,50.0,58.0,61.0,2.0,57.0,58.0,120.0,51.0,35.0,41.0,12.0,8.0,415.0,59.0,37.0,6.0,15.0,98.0,107.0,27.0,43.0,16.0,46.0,20.0,29.0,43.0,64.0,31.0,9.0,44.0,36.0,21.0,27.0,64.0,71.0,42.0,116.0,29.0,22.0,113.0,8.0,33.0,33.0,16.0,22.0,7.0,14.0,5.0,35.0,24.0,29.0,0.0,26.0,4.0,14.0,101.0,3.0,44.0,30.0,17.0,144.0,8.0,42.0,42.0,78.0,17.0,12.0,14.0,41.0,4.0,5.0,13.0,57.0,34.0,0.0,20.0,24.0,21.0,60.0,2.0,15.0,24.0,27.0,0.0,12.0,2.0,30.0,3.0,0.0,8.0,0.0,6.0,21.0,3.0,10.0,5.0,8.0,24.0,3.0,8.0,26.0,27.0,9.0,49.0,11.0,1.0,12.0,34.0,15.0,28.0,26.0,7.0,2.0,40.0,10.0,11.0,10.0,29.0,15.0,22.0,3.0,15.0,25.0,63.0,40.0,2.0,2.0,28.0,1.0,14.0,0.0,5.0,39.0,24.0,12.0,23.0,12.0
노력,211.0,149.0,96.0,307.0,142.0,90.0,79.0,87.0,75.0,0.0,142.0,66.0,86.0,83.0,60.0,84.0,53.0,66.0,50.0,83.0,74.0,67.0,53.0,48.0,59.0,13.0,79.0,50.0,10.0,23.0,54.0,82.0,59.0,57.0,65.0,57.0,53.0,28.0,36.0,22.0,80.0,26.0,41.0,58.0,23.0,31.0,15.0,37.0,26.0,55.0,17.0,11.0,27.0,19.0,5.0,58.0,45.0,42.0,36.0,17.0,39.0,20.0,29.0,15.0,18.0,19.0,36.0,25.0,14.0,57.0,23.0,39.0,37.0,21.0,30.0,28.0,37.0,13.0,14.0,6.0,15.0,10.0,20.0,33.0,21.0,28.0,31.0,29.0,20.0,24.0,8.0,36.0,25.0,42.0,14.0,63.0,15.0,21.0,37.0,22.0,19.0,5.0,5.0,8.0,14.0,27.0,10.0,20.0,20.0,22.0,5.0,10.0,50.0,0.0,15.0,14.0,12.0,18.0,2.0,7.0,17.0,9.0,15.0,24.0,6.0,10.0,17.0,2.0,12.0,13.0,21.0,33.0,13.0,35.0,32.0,7.0,13.0,4.0,8.0,15.0,13.0,31.0,13.0,12.0,8.0,12.0,20.0,7.0,14.0,7.0,17.0,16.0,21.0,23.0,17.0,22.0,13.0,21.0,8.0,7.0,9.0,23.0,14.0,14.0,13.0,4.0,16.0,9.0,9.0,16.0,10.0,10.0,11.0,11.0,13.0,25.0
사회,181.0,133.0,116.0,150.0,189.0,83.0,48.0,77.0,66.0,142.0,0.0,45.0,102.0,60.0,25.0,78.0,67.0,66.0,38.0,31.0,65.0,52.0,67.0,33.0,160.0,31.0,35.0,47.0,19.0,22.0,47.0,212.0,60.0,36.0,106.0,319.0,54.0,33.0,60.0,38.0,65.0,14.0,41.0,71.0,16.0,57.0,25.0,52.0,31.0,104.0,14.0,8.0,30.0,25.0,11.0,24.0,69.0,29.0,40.0,25.0,31.0,18.0,70.0,14.0,28.0,24.0,28.0,61.0,46.0,52.0,13.0,37.0,25.0,16.0,23.0,14.0,33.0,27.0,9.0,7.0,34.0,4.0,44.0,42.0,30.0,20.0,29.0,38.0,17.0,41.0,33.0,23.0,26.0,42.0,9.0,31.0,11.0,10.0,28.0,20.0,39.0,7.0,8.0,4.0,34.0,25.0,8.0,4.0,11.0,13.0,10.0,8.0,15.0,0.0,18.0,25.0,54.0,7.0,12.0,14.0,26.0,11.0,33.0,14.0,19.0,26.0,14.0,13.0,12.0,14.0,1.0,27.0,29.0,18.0,24.0,11.0,13.0,6.0,17.0,8.0,14.0,10.0,19.0,8.0,14.0,22.0,16.0,6.0,15.0,13.0,15.0,22.0,6.0,15.0,19.0,32.0,17.0,21.0,6.0,3.0,8.0,19.0,13.0,29.0,22.0,1.0,18.0,8.0,13.0,7.0,24.0,6.0,15.0,19.0,27.0,30.0
기업,278.0,42.0,128.0,146.0,53.0,160.0,140.0,91.0,170.0,66.0,45.0,0.0,38.0,15.0,149.0,206.0,37.0,134.0,111.0,74.0,1.0,33.0,85.0,38.0,6.0,18.0,8.0,24.0,18.0,15.0,17.0,39.0,12.0,1.0,26.0,7.0,80.0,16.0,75.0,60.0,94.0,142.0,2.0,14.0,142.0,40.0,12.0,35.0,45.0,23.0,8.0,103.0,90.0,87.0,3.0,26.0,30.0,18.0,27.0,28.0,25.0,56.0,12.0,9.0,5.0,38.0,40.0,12.0,28.0,16.0,16.0,41.0,28.0,45.0,59.0,48.0,21.0,19.0,146.0,6.0,28.0,163.0,6.0,27.0,1.0,25.0,10.0,31.0,39.0,42.0,10.0,29.0,6.0,7.0,39.0,2.0,36.0,8.0,28.0,23.0,1.0,5.0,19.0,54.0,23.0,14.0,33.0,32.0,6.0,10.0,15.0,21.0,29.0,0.0,19.0,18.0,9.0,202.0,6.0,11.0,10.0,8.0,1.0,17.0,12.0,120.0,2.0,1.0,18.0,1.0,50.0,30.0,2.0,13.0,16.0,15.0,18.0,5.0,30.0,5.0,21.0,26.0,9.0,5.0,1.0,38.0,30.0,39.0,9.0,47.0,4.0,3.0,45.0,15.0,8.0,60.0,6.0,24.0,61.0,16.0,20.0,30.0,11.0,25.0,1.0,2.0,41.0,2.0,7.0,0.0,41.0,36.0,36.0,12.0,26.0,9.0
국가,241.0,221.0,157.0,111.0,221.0,97.0,124.0,101.0,119.0,86.0,102.0,38.0,0.0,59.0,47.0,62.0,51.0,90.0,59.0,24.0,49.0,43.0,75.0,71.0,23.0,28.0,32.0,80.0,8.0,16.0,67.0,33.0,43.0,20.0,48.0,38.0,40.0,17.0,50.0,34.0,49.0,26.0,21.0,29.0,31.0,58.0,30.0,38.0,21.0,47.0,25.0,18.0,29.0,24.0,4.0,28.0,31.0,33.0,34.0,20.0,21.0,22.0,74.0,9.0,29.0,11.0,35.0,47.0,26.0,31.0,17.0,46.0,26.0,29.0,24.0,26.0,24.0,22.0,13.0,3.0,19.0,17.0,29.0,33.0,70.0,21.0,25.0,32.0,11.0,46.0,7.0,17.0,21.0,35.0,9.0,32.0,13.0,18.0,33.0,26.0,17.0,6.0,7.0,17.0,29.0,19.0,15.0,9.0,16.0,13.0,7.0,9.0,13.0,0.0,10.0,14.0,19.0,4.0,1.0,12.0,23.0,10.0,7.0,17.0,12.0,10.0,12.0,3.0,9.0,32.0,14.0,20.0,28.0,11.0,19.0,11.0,20.0,5.0,28.0,13.0,16.0,13.0,29.0,16.0,6.0,10.0,17.0,7.0,27.0,20.0,8.0,20.0,12.0,18.0,11.0,19.0,26.0,30.0,15.0,13.0,13.0,13.0,50.0,28.0,20.0,2.0,9.0,14.0,7.0,4.0,12.0,16.0,55.0,10.0,16.0,15.0
대한민국,131.0,183.0,156.0,78.0,133.0,21.0,53.0,18.0,68.0,83.0,60.0,15.0,59.0,0.0,52.0,20.0,51.0,42.0,37.0,8.0,89.0,63.0,35.0,105.0,27.0,16.0,28.0,69.0,42.0,72.0,47.0,73.0,61.0,39.0,22.0,41.0,6.0,40.0,14.0,10.0,22.0,15.0,29.0,25.0,7.0,21.0,37.0,18.0,35.0,22.0,58.0,18.0,18.0,10.0,5.0,29.0,17.0,79.0,14.0,35.0,45.0,11.0,33.0,31.0,26.0,35.0,12.0,34.0,29.0,12.0,8.0,4.0,19.0,12.0,35.0,19.0,13.0,15.0,12.0,14.0,20.0,7.0,9.0,17.0,17.0,11.0,11.0,20.0,10.0,23.0,14.0,6.0,5.0,10.0,15.0,64.0,7.0,24.0,12.0,8.0,23.0,15.0,15.0,6.0,8.0,6.0,7.0,4.0,19.0,54.0,12.0,12.0,10.0,1.0,29.0,16.0,11.0,12.0,16.0,2.0,10.0,10.0,10.0,10.0,24.0,0.0,35.0,17.0,9.0,7.0,6.0,9.0,14.0,16.0,19.0,6.0,18.0,1.0,4.0,18.0,10.0,10.0,13.0,6.0,12.0,12.0,6.0,5.0,6.0,2.0,14.0,29.0,4.0,12.0,2.0,9.0,14.0,10.0,6.0,13.0,23.0,4.0,3.0,11.0,17.0,2.0,9.0,32.0,9.0,4.0,7.0,8.0,10.0,9.0,11.0,6.0
창조,1073.0,71.0,101.0,128.0,90.0,62.0,245.0,61.0,447.0,60.0,25.0,149.0,47.0,52.0,0.0,128.0,251.0,90.0,151.0,33.0,15.0,62.0,123.0,100.0,0.0,16.0,6.0,15.0,51.0,25.0,58.0,10.0,7.0,6.0,26.0,7.0,45.0,11.0,39.0,56.0,46.0,62.0,4.0,34.0,56.0,76.0,50.0,26.0,48.0,7.0,9.0,332.0,37.0,58.0,4.0,16.0,35.0,56.0,21.0,30.0,17.0,78.0,4.0,40.0,61.0,39.0,39.0,13.0,37.0,20.0,37.0,22.0,55.0,64.0,26.0,113.0,16.0,19.0,123.0,8.0,48.0,12.0,6.0,20.0,3.0,16.0,1.0,38.0,14.0,28.0,3.0,20.0,5.0,5.0,79.0,0.0,30.0,1.0,12.0,31.0,7.0,47.0,47.0,125.0,12.0,9.0,7.0,31.0,5.0,5.0,19.0,132.0,31.0,0.0,14.0,36.0,8.0,94.0,5.0,3.0,13.0,7.0,0.0,8.0,10.0,16.0,5.0,3.0,13.0,3.0,2.0,10.0,1.0,10.0,9.0,7.0,25.0,0.0,15.0,5.0,23.0,11.0,38.0,3.0,1.0,15.0,37.0,12.0,52.0,18.0,6.0,0.0,37.0,9.0,14.0,9.0,21.0,12.0,11.0,1.0,8.0,15.0,27.0,15.0,5.0,0.0,47.0,0.0,18.0,3.0,2.0,14.0,16.0,15.0,35.0,10.0
지원,187.0,39.0,95.0,274.0,129.0,95.0,143.0,109.0,115.0,84.0,78.0,206.0,62.0,20.0,128.0,0.0,69.0,86.0,123.0,43.0,16.0,17.0,146.0,34.0,41.0,7.0,8.0,20.0,4.0,4.0,6.0,96.0,11.0,5.0,166.0,63.0,151.0,7.0,150.0,68.0,163.0,66.0,5.0,23.0,92.0,79.0,4.0,13.0,16.0,53.0,22.0,154.0,66.0,152.0,5.0,17.0,12.0,16.0,51.0,1.0,15.0,61.0,20.0,5.0,38.0,22.0,65.0,33.0,23.0,61.0,28.0,100.0,32.0,46.0,28.0,29.0,61.0,18.0,158.0,1.0,17.0,67.0,7.0,34.0,9.0,43.0,5.0,42.0,28.0,47.0,10.0,85.0,34.0,21.0,39.0,8.0,92.0,3.0,44.0,28.0,5.0,1.0,6.0,36.0,40.0,22.0,21.0,32.0,5.0,4.0,8.0,22.0,27.0,0.0,7.0,30.0,18.0,71.0,3.0,6.0,14.0,10.0,4.0,15.0,29.0,51.0,1.0,2.0,37.0,2.0,18.0,42.0,1.0,45.0,34.0,0.0,14.0,11.0,43.0,3.0,39.0,36.0,19.0,30.0,17.0,31.0,44.0,31.0,18.0,64.0,10.0,12.0,44.0,13.0,29.0,33.0,6.0,23.0,65.0,7.0,18.0,89.0,23.0,9.0,15.0,1.0,40.0,5.0,19.0,7.0,28.0,71.0,15.0,43.0,31.0,6.0
문화,225.0,137.0,125.0,88.0,104.0,87.0,277.0,87.0,61.0,53.0,67.0,37.0,51.0,51.0,251.0,69.0,0.0,57.0,58.0,74.0,30.0,56.0,78.0,54.0,11.0,12.0,13.0,48.0,20.0,24.0,56.0,35.0,51.0,24.0,35.0,13.0,53.0,10.0,27.0,66.0,35.0,33.0,7.0,14.0,20.0,46.0,15.0,40.0,42.0,12.0,49.0,42.0,17.0,32.0,3.0,12.0,22.0,30.0,21.0,14.0,18.0,45.0,17.0,6.0,24.0,10.0,33.0,29.0,22.0,22.0,14.0,16.0,34.0,46.0,4.0,50.0,3.0,31.0,12.0,2.0,68.0,9.0,6.0,23.0,7.0,48.0,9.0,21.0,9.0,29.0,7.0,18.0,11.0,10.0,11.0,8.0,17.0,0.0,17.0,11.0,27.0,7.0,7.0,29.0,10.0,15.0,23.0,5.0,44.0,3.0,4.0,163.0,8.0,0.0,22.0,19.0,7.0,37.0,10.0,13.0,18.0,4.0,1.0,5.0,13.0,8.0,7.0,5.0,18.0,1.0,2.0,10.0,1.0,22.0,7.0,3.0,21.0,2.0,11.0,2.0,12.0,11.0,41.0,1.0,29.0,2.0,9.0,16.0,23.0,14.0,16.0,1.0,18.0,2.0,69.0,4.0,22.0,3.0,5.0,7.0,3.0,15.0,8.0,9.0,15.0,17.0,16.0,0.0,20.0,8.0,6.0,7.0,8.0,18.0,10.0,8.0
성장,492.0,65.0,212.0,87.0,117.0,115.0,197.0,67.0,154.0,66.0,66.0,134.0,90.0,42.0,90.0,86.0,57.0,0.0,75.0,64.0,17.0,43.0,81.0,135.0,11.0,18.0,10.0,54.0,5.0,11.0,49.0,39.0,18.0,14.0,47.0,29.0,42.0,16.0,36.0,43.0,37.0,71.0,17.0,38.0,43.0,48.0,15.0,24.0,25.0,12.0,17.0,25.0,66.0,30.0,9.0,25.0,46.0,38.0,33.0,10.0,10.0,40.0,8.0,0.0,25.0,32.0,17.0,41.0,23.0,81.0,39.0,26.0,51.0,70.0,19.0,44.0,25.0,16.0,53.0,3.0,36.0,38.0,25.0,63.0,4.0,15.0,13.0,31.0,31.0,23.0,1.0,19.0,15.0,21.0,12.0,6.0,36.0,33.0,34.0,54.0,17.0,11.0,11.0,24.0,18.0,12.0,24.0,25.0,10.0,14.0,5.0,23.0,16.0,0.0,11.0,13.0,14.0,36.0,3.0,16.0,27.0,6.0,3.0,25.0,2.0,19.0,11.0,1.0,35.0,12.0,24.0,22.0,2.0,13.0,8.0,7.0,24.0,1.0,21.0,29.0,28.0,4.0,162.0,11.0,11.0,17.0,15.0,14.0,29.0,13.0,7.0,0.0,42.0,9.0,6.0,4.0,23.0,13.0,10.0,1.0,13.0,19.0,48.0,33.0,4.0,5.0,16.0,10.0,6.0,0.0,12.0,6.0,25.0,8.0,30.0,7.0
기술,213.0,48.0,164.0,82.0,145.0,92.0,281.0,111.0,169.0,50.0,38.0,111.0,59.0,37.0,151.0,123.0,58.0,75.0,0.0,56.0,5.0,35.0,38.0,77.0,3.0,24.0,11.0,64.0,12.0,17.0,50.0,10.0,13.0,0.0,48.0,35.0,49.0,5.0,149.0,96.0,70.0,71.0,1.0,41.0,76.0,49.0,32.0,32.0,28.0,32.0,9.0,43.0,31.0,55.0,5.0,25.0,6.0,22.0,45.0,11.0,8.0,39.0,14.0,8.0,399.0,24.0,28.0,43.0,29.0,17.0,60.0,26.0,46.0,72.0,22.0,74.0,26.0,25.0,44.0,4.0,50.0,30.0,24.0,17.0,3.0,30.0,2.0,29.0,20.0,35.0,20.0,29.0,4.0,18.0,15.0,13.0,26.0,8.0,16.0,12.0,26.0,8.0,8.0,109.0,107.0,20.0,8.0,21.0,5.0,3.0,12.0,102.0,23.0,0.0,4.0,20.0,2.0,42.0,4.0,21.0,6.0,12.0,0.0,6.0,3.0,16.0,1.0,0.0,16.0,1.0,3.0,22.0,2.0,2.0,3.0,3.0,33.0,1.0,13.0,19.0,19.0,22.0,28.0,12.0,2.0,19.0,26.0,4.0,29.0,81.0,9.0,3.0,27.0,7.0,13.0,15.0,22.0,31.0,19.0,1.0,13.0,21.0,14.0,16.0,1.0,3.0,23.0,3.0,9.0,0.0,5.0,17.0,26.0,11.0,31.0,19.0
